x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
  31.14,  213.99, 3.704842187500e-03, 181.0, 4.250425939227e-02, nan
  61.52,  225.06, 3.717553125000e-03,  99.0, 1.116376455650e-01, nan
  20.45,  172.56, 3.723854687500e-03, 107.0, 1.843460813814e-01, nan
  27.15,  215.46, 3.774618750000e-03,   9.0, 5.803948940972e-02, nan
  11.24,  244.27, 3.783610937500e-03,  52.0, 3.552018115986e-02, nan
  14.53,  221.43, 3.791218750000e-03,   3.0, 2.993233281250e-02, nan
  35.91,  205.49, 3.837135937500e-03,  10.0, 6.815912265625e-02, nan
  16.43,  210.03, 3.900914062500e-03,   3.0, 5.636206510417e-02, nan
  11.68,  247.02, 3.962620312500e-03,  22.0, 1.709860255682e-02, nan
  29.44,  202.75, 9.957646875000e-03,   2.0, 2.633298750000e-02, nan
  13.54,  180.95, 1.093948750000e-02,   8.0, 1.200410341797e-01, nan
 194.12,  138.45, 1.289130625000e-02, 158.0, 9.727667469343e-02, nan
 202.99,  137.66, 1.289167343750e-02,  46.0, 8.874407809103e-02, nan
 174.07,  126.91, 1.289551406250e-02,  89.0, 2.794869165028e-01, nan
 203.92,  147.20, 1.290557812500e-02,   9.0, 8.966324618056e-02, nan
 237.76,  177.41, 1.290559375000e-02,  89.0, 2.090048298104e-01, nan
 201.70,  147.18, 1.319995625000e-02,   4.0, 1.266325222656e-01, nan
 176.98,  238.58, 1.357757812500e-02,  79.0, 6.390014863528e-02, nan
 178.57,  250.37, 1.357820937500e-02,   6.0, 1.854709791667e-02, nan
 193.71,  243.82, 1.358008750000e-02,   3.0, 2.476423958333e-03, nan
 160.05,  251.66, 1.359554062500e-02,   7.0, 4.702566361607e-02, nan
 144.36,   36.15, 1.470990312500e-02, 385.0, 4.991311313352e-01, nan
 100.67,   29.44, 1.471346406250e-02,   1.0, 0.000000000000e+00, nan
 113.50,   21.45, 1.471971250000e-02,   4.0, 7.428740585938e-02, nan
 125.20,   46.59, 1.477107968750e-02,  85.0, 3.760314494485e-02, nan
 117.05,   44.52, 1.479004531250e-02,   3.0, 4.690467604167e-02, nan
 129.30,   81.41, 1.481024531250e-02,  47.0, 1.615783342088e-01, nan
 119.75,   54.14, 1.489725000000e-02,   7.0, 2.262786919643e-02, nan
  81.38,  169.03, 1.508826562500e-02, 669.0, 5.141505273356e-01, nan
  99.09,  211.00, 1.509780468750e-02, 490.0, 3.919558678189e-01, nan
  81.10,  231.44, 1.515677968750e-02,  20.0, 1.252992796094e-01, nan
   9.97,   94.96, 1.579761093750e-02,  94.0, 5.520420754654e-02, nan
   6.88,   96.67, 1.580943593750e-02,  18.0, 5.595182222222e-02, nan
  19.38,   92.70, 1.582103437500e-02,   8.0, 5.597160039063e-02, nan
   2.30,   98.62, 1.583416562500e-02,   3.0, 4.479322395833e-02, nan
  22.65,  239.53, 1.696333125000e-02,   2.0, 2.006093750000e-05, nan
  16.18,  254.73, 1.696523750000e-02,   4.0, 2.600781249998e-06, nan
   5.61,  255.61, 1.696550625000e-02,   5.0, 5.657508718750e-02, nan
   7.65,  240.64, 1.696719531250e-02,   2.0, 3.632511718750e-03, nan
 200.98,  170.71, 1.753392968750e-02,  31.0, 1.461157824093e-01, nan
 100.46,  213.81, 2.125767031250e-02,  66.0, 9.931446133996e-02, nan
 125.57,  206.52, 2.126347656250e-02,  41.0, 8.510167560976e-02, nan
  80.96,  185.06, 2.126605937500e-02,  77.0, 1.664443977070e-01, nan
 160.60,  217.53, 2.127797031250e-02,  55.0, 1.651018673011e-01, nan
 124.57,  233.07, 2.128014062500e-02,   6.0, 8.061066484375e-02, nan
 114.86,  165.91, 2.128099062500e-02, 287.0, 3.771461282121e-01, nan
 105.90,  218.18, 2.128152031250e-02,   8.0, 9.312415625000e-02, nan
 110.06,  234.91, 2.130673750000e-02,   5.0, 1.306215446875e-01, nan
  92.07,  217.92, 2.133053750000e-02,   9.0, 1.219042737847e-01, nan
 167.18,  223.65, 2.135800468750e-02, 139.0, 2.618164515400e-01, nan
 136.39,  221.38, 2.309960000000e-02,  11.0, 5.542507911932e-02, nan
 199.93,  193.19, 2.340295625000e-02,  93.0, 1.542550496808e-01, nan
 179.12,  198.71, 2.340309375000e-02,   4.0, 1.266243046875e-02, nan
 200.06,  180.90, 2.340632343750e-02,  15.0, 7.765982145833e-02, nan
 197.93,  198.49, 2.341085468750e-02,  15.0, 1.901004414583e-01, nan
 185.62,  204.93, 2.343287968750e-02,   2.0, 1.283070937500e-02, nan
 158.12,  249.83, 2.545985468750e-02,   6.0, 2.320011640625e-02, nan
  61.93,  176.78, 2.615532343750e-02, 345.0, 4.306755566893e-01, nan
  74.49,  163.77, 2.615545781250e-02, 148.0, 4.970187905933e-01, nan
  49.74,  151.20, 2.615570937500e-02,  19.0, 8.463186250000e-02, nan
  60.24,  164.26, 2.615813906250e-02,  14.0, 8.581414810268e-02, nan
  33.87,  162.28, 2.616660781250e-02,   2.0, 2.069109843750e-02, nan
  62.91,  128.71, 2.620602343750e-02, 103.0, 1.747559825546e-01, nan
  61.96,  176.55, 2.620860156250e-02,  43.0, 2.443858640988e-02, nan
  90.12,  173.00, 2.642950312500e-02,  47.0, 8.808346755319e-02, nan
 110.41,   59.91, 2.761154062500e-02,   3.0, 2.794157291667e-03, nan
 134.72,   51.82, 2.761237343750e-02,   4.0, 3.618417890625e-02, nan
 118.58,   45.66, 2.761938593750e-02,   2.0, 1.000097265625e-02, nan
 138.76,   80.81, 2.765142031250e-02,  60.0, 1.541875629948e-01, nan
 168.98,  232.46, 2.787807656250e-02,   8.0, 1.027201222656e-01, nan
 117.11,  114.28, 2.788578281250e-02, 101.0, 1.801743225248e-01, nan
 248.64,  176.19, 3.102860156250e-02,  86.0, 8.580437421875e-02, nan
 258.75,  166.97, 3.103493125000e-02,   6.0, 2.935154427083e-03, nan
