x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
 170.45,   22.59, 1.045646875000e-03,  16.0, 1.218473242187e-03, nan
 178.25,   23.81, 1.055753125000e-03,   2.0, 1.238437500000e-05, nan
 121.17,   14.23, 1.065051562500e-03, 224.0, 2.268566555525e-01, nan
 173.72,   13.76, 1.134098437500e-03, 107.0, 1.754676766063e-01, nan
  33.00,  176.03, 2.891396875000e-03,  27.0, 9.070100057870e-03, nan
  30.66,  182.59, 2.893321875000e-03,   4.0, 5.127803125000e-03, nan
  44.34,  150.63, 2.903426562500e-03,  46.0, 5.332337269022e-02, nan
  32.01,  186.44, 2.915357812500e-03,   2.0, 2.621235937500e-03, nan
  52.76,  163.42, 2.924412500000e-03,   4.0, 5.978193671875e-02, nan
  33.52,  148.69, 3.034542187500e-03,  48.0, 5.009778720703e-02, nan
 100.92,  162.14, 3.060845312500e-03,  76.0, 1.130715115543e-01, nan
 110.77,  136.53, 3.064114062500e-03, 157.0, 2.186034018810e-01, nan
  32.15,  160.39, 3.064412500000e-03,   4.0, 3.832947070312e-02, nan
 132.06,  113.31, 3.101503125000e-03,  80.0, 1.900838334961e-01, nan
 163.70,  173.43, 3.278764062500e-03, 264.0, 1.238511541548e-01, nan
 144.76,  181.02, 3.278992187500e-03, 137.0, 1.859691250342e-01, nan
 113.53,  198.48, 3.281354687500e-03, 467.0, 4.557413284562e-01, nan
 155.72,  211.54, 3.285985937500e-03,   2.0, 1.702094531250e-03, nan
 169.98,  225.99, 3.287667187500e-03, 578.0, 4.772352605482e-01, nan
  79.34,  218.93, 3.305707812500e-03, 459.0, 2.015138602022e-01, nan
  42.31,  154.08, 3.392162500000e-03,   4.0, 3.807560117188e-02, nan
 128.54,  105.86, 3.727389062500e-03, 163.0, 1.414475361867e-01, nan
 160.52,  166.22, 5.099040625000e-03,  77.0, 1.732364617898e-01, nan
  27.22,  154.86, 5.631553125000e-03,   3.0, 3.031506041667e-02, nan
  49.23,  110.40, 8.417837500000e-03,  42.0, 1.643152708333e-02, nan
  51.85,   77.66, 8.431990625000e-03,  79.0, 5.486629072389e-02, nan
  52.73,  106.49, 8.555885937500e-03,  22.0, 1.740305099432e-02, nan
  42.88,  122.47, 8.749178125000e-03,   2.0, 5.624503125000e-03, nan
 108.66,   96.85, 9.372164062500e-03, 583.0, 3.561355038379e-01, nan
 147.77,  150.58, 9.374692187500e-03,  18.0, 1.011241847222e-01, nan
 156.68,  158.77, 9.380140625000e-03,  16.0, 4.221734462891e-02, nan
 189.72,  147.11, 9.404521875000e-03,  88.0, 3.015713891335e-01, nan
 167.02,  184.69, 9.406846875000e-03, 599.0, 5.011509010225e-01, nan
 161.64,  165.53, 9.478204687500e-03,   6.0, 1.057749244792e-02, nan
 129.19,   61.27, 9.559140625000e-03, 160.0, 2.916775357422e-01, nan
 194.78,   52.06, 9.687151562500e-03,  78.0, 4.225483930288e-02, nan
 187.73,   52.57, 9.687732812500e-03,  19.0, 5.936310929276e-02, nan
 226.13,   29.54, 9.687879687500e-03, 305.0, 4.104772402971e-01, nan
 226.55,   63.07, 9.727928125000e-03,   7.0, 7.633444776786e-02, nan
 230.26,   66.53, 9.728245312500e-03,  13.0, 7.113184555288e-02, nan
 187.11,   62.60, 9.731318750000e-03,   3.0, 6.423529270833e-02, nan
 178.41,   50.58, 9.760212500000e-03,   6.0, 7.385915468750e-02, nan
 218.10,   57.74, 9.880460937500e-03,   2.0, 3.764862890625e-02, nan
  80.30,  210.42, 1.051497656250e-02, 138.0, 1.291919701653e-01, nan
 113.86,  202.54, 1.052999687500e-02,  14.0, 3.096983303571e-02, nan
 139.35,  185.66, 1.053168437500e-02,  30.0, 1.159759497396e-01, nan
  68.12,  238.63, 1.053180312500e-02, 119.0, 1.228436750131e-01, nan
 116.95,  196.06, 1.060192031250e-02,   2.0, 3.300795312500e-03, nan
 134.55,  190.55, 1.061802812500e-02,   4.0, 6.105224453125e-02, nan
  40.49,  107.73, 1.196549218750e-02,   2.0, 1.312037500000e-02, nan
  63.00,  114.38, 1.345692500000e-02,   5.0, 9.884727812500e-03, nan
 101.78,   69.31, 1.386951562500e-02, 294.0, 2.057665034120e-01, nan
  84.57,  212.18, 1.503250468750e-02,  10.0, 9.442595859375e-02, nan
  96.41,  189.77, 1.503472812500e-02,   4.0, 4.630858593750e-02, nan
 103.26,  211.41, 1.504915937500e-02,   2.0, 2.460902734375e-02, nan
  50.00,   82.78, 1.573930468750e-02,   8.0, 3.187233066406e-02, nan
  41.35,   90.51, 1.575383906250e-02,   7.0, 7.258509151786e-03, nan
  57.30,   91.42, 1.585965937500e-02,   2.0, 3.657057187500e-02, nan
 232.03,  179.31, 1.735923281250e-02, 350.0, 9.887435889732e-02, nan
 248.85,  203.00, 1.735962968750e-02,  32.0, 1.480446474609e-02, nan
 243.77,  204.31, 1.736077656250e-02,   6.0, 3.224761979167e-03, nan
 235.36,  176.56, 1.736683281250e-02,  60.0, 1.248573272656e-01, nan
 240.31,  176.32, 1.737040781250e-02,  15.0, 1.262225304167e-01, nan
 256.39,  211.35, 1.737337812500e-02,   2.0, 9.114546875000e-04, nan
 225.22,  184.97, 1.737340781250e-02,   7.0, 5.778758303571e-02, nan
 237.53,  184.34, 1.740024687500e-02,   3.0, 4.730039687500e-02, nan
 225.48,  241.49, 1.740926093750e-02, 198.0, 1.453797599037e-01, nan
 228.13,   39.20, 1.956824531250e-02, 181.0, 1.314032249137e-01, nan
 224.74,   13.89, 1.957037031250e-02,  30.0, 7.579554494792e-02, nan
 222.14,   -5.77, 1.957104687500e-02,   3.0, 3.709218750000e-05, nan
 214.77,   12.97, 1.957250156250e-02,  17.0, 1.009546079044e-01, nan
 242.95,    5.50, 1.957489531250e-02,  13.0, 6.627301069712e-02, nan
 227.02,   -1.34, 1.957552500000e-02,   2.0, 3.902564375000e-02, nan
 102.20,   24.56, 2.002072968750e-02,  51.0, 2.447095296875e-01, nan
 239.45,  172.05, 2.135357656250e-02,   4.0, 4.136794062500e-02, nan
 228.87,  178.72, 2.139377812500e-02,   3.0, 2.954951145833e-02, nan
 163.24,  168.92, 2.172866562500e-02,  16.0, 2.997000000000e-03, nan
 171.53,  169.81, 2.172907500000e-02,   2.0, 2.259310703125e-02, nan
 160.74,  175.65, 2.173034218750e-02,   2.0, 2.355867187500e-04, nan
 194.62,  146.05, 2.233033125000e-02,  10.0, 1.007262876562e-01, nan
  39.90,   85.69, 2.261196562500e-02,   1.0, 0.000000000000e+00, nan
  32.38,   85.70, 2.262011406250e-02,   2.0, 1.840906250000e-04, nan
  50.64,   81.24, 2.262111875000e-02,   2.0, 3.067536718750e-02, nan
  34.81,   23.88, 2.496664375000e-02, 138.0, 1.760574992074e-01, nan
  10.44,   55.27, 2.496887031250e-02,   3.0, 1.208489583333e-05, nan
  24.00,   53.76, 2.497901406250e-02,  27.0, 1.100538244213e-01, nan
 127.01,  170.83, 2.527838906250e-02,   5.0, 7.560548250000e-02, nan
  65.12,  198.99, 2.775975312500e-02,  16.0, 5.338857890625e-02, nan
  72.35,  213.69, 2.776014375000e-02,  16.0, 2.209201152344e-02, nan
  81.86,  229.14, 2.776175937500e-02,  11.0, 2.284821704545e-02, nan
  72.31,  212.50, 2.776199531250e-02,   6.0, 1.615709661458e-02, nan
  76.48,  211.84, 2.777978281250e-02,   2.0, 1.948752343750e-02, nan
  64.58,  239.08, 2.845408750000e-02,  25.0, 9.932355681250e-02, nan
 172.58,  161.84, 2.900896562500e-02,   2.0, 4.872311796875e-02, nan
 101.00,  203.75, 2.930115937500e-02, 135.0, 5.265597892477e-01, nan
 104.59,   84.77, 3.127552968750e-02,  23.0, 1.623203192935e-03, nan
  95.61,   95.49, 3.127598125000e-02,  65.0, 1.984808875962e-01, nan
 105.89,   76.37, 3.127695312500e-02,   6.0, 7.592122135417e-03, nan
 114.38,   82.77, 3.127751250000e-02,   2.0, 3.859062500000e-04, nan
 100.65,   82.26, 3.128082968750e-02,   2.0, 5.438755468750e-03, nan
 125.53,   99.89, 3.128118125000e-02,   9.0, 1.121644260417e-01, nan
  11.94,   78.51, 3.349270937500e-02,  75.0, 2.285025173333e-01, nan
 215.72,    7.85, 3.759239218750e-02,   4.0, 9.317122539063e-02, nan
 136.14,  165.09, 3.959694218750e-02,   3.0, 6.481097031250e-02, nan
 232.05,   38.16, 4.171268906250e-02,  40.0, 7.354210917969e-02, nan
 235.93,   34.51, 4.171433593750e-02,   5.0, 4.345297781250e-02, nan
 225.12,   34.15, 4.202219531250e-02,   1.0, 0.000000000000e+00, nan
 124.93,   67.48, 4.394572812500e-02, 173.0, 1.697233170701e-01, nan
  56.35,  148.27, 4.430297031250e-02,   6.0, 3.487391927083e-03, nan
  62.39,  157.78, 4.430550781250e-02,   2.0, 8.487437500000e-04, nan
  42.68,  148.09, 4.434708281250e-02,   3.0, 4.504123437500e-03, nan
