x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
 161.82,   81.54, 1.900476562500e-03, 664.0, 5.195195972539e-01, nan
 180.18,   88.81, 2.017428125000e-03, 327.0, 4.498539379109e-01, nan
 154.65,   81.77, 2.018559375000e-03, 226.0, 3.470203661297e-01, nan
 175.22,   91.51, 2.020229687500e-03, 383.0, 5.930636986619e-01, nan
 144.26,   64.20, 2.022762500000e-03, 482.0, 6.350687892084e-01, nan
 190.56,   33.89, 2.022915625000e-03, 420.0, 5.971836988467e-01, nan
 173.90,   46.97, 2.024289062500e-03, 218.0, 6.937208252652e-01, nan
 217.90,   38.87, 2.025231250000e-03, 138.0, 5.903111136775e-01, nan
 209.85,   89.92, 2.029109375000e-03, 266.0, 6.211952823191e-01, nan
 144.92,   21.76, 2.035614062500e-03, 299.0, 6.845498540604e-01, nan
  88.42,   65.09, 2.038784375000e-03, 557.0, 5.329714433797e-01, nan
 169.44,   93.82, 2.043725000000e-03, 257.0, 5.832445123906e-01, nan
 112.87,  174.24, 2.049664062500e-03, 478.0, 6.086040057728e-01, nan
  67.82,   32.10, 2.050200000000e-03, 470.0, 7.017247413597e-01, nan
 124.20,  128.22, 2.050481250000e-03, 521.0, 4.590764497631e-01, nan
 169.73,  112.26, 2.061442187500e-03, 334.0, 3.627228090756e-01, nan
 105.01,   49.17, 2.076826562500e-03, 474.0, 5.784546686709e-01, nan
 121.75,   41.77, 2.098590625000e-03, 463.0, 5.035806897779e-01, nan
  41.34,   34.68, 2.103078125000e-03, 761.0, 5.487432665654e-01, nan
  78.82,   75.04, 2.137962500000e-03, 557.0, 5.398958400920e-01, nan
  69.35,  214.02, 2.149120312500e-03, 705.0, 3.476030641157e-01, nan
  24.71,   73.96, 2.151407812500e-03, 672.0, 4.400583788295e-01, nan
  36.91,   53.83, 2.153635937500e-03, 468.0, 5.102045360777e-01, nan
  57.09,  157.82, 2.165353125000e-03, 592.0, 4.926656970307e-01, nan
  39.68,  157.70, 2.178209375000e-03, 878.0, 3.726501707788e-01, nan
  41.33,  154.08, 2.181653125000e-03, 883.0, 4.139652621302e-01, nan
  29.15,  190.47, 2.271670312500e-03, 716.0, 4.862322683048e-01, nan
 106.94,   75.14, 2.271893750000e-03, 343.0, 2.902699576713e-01, nan
 111.59,  234.88, 2.287757812500e-03, 369.0, 5.804980143885e-01, nan
 144.43,  219.98, 2.288768750000e-03, 337.0, 5.222033364151e-01, nan
  63.85,  133.60, 2.295989062500e-03, 617.0, 3.966287607602e-01, nan
 170.85,  196.96, 2.297818750000e-03, 263.0, 6.107163232593e-01, nan
  81.01,  236.18, 2.304831250000e-03, 394.0, 5.937726930758e-01, nan
  26.61,  193.50, 2.306834375000e-03, 828.0, 4.517264480016e-01, nan
  59.87,  175.94, 2.316667187500e-03, 387.0, 3.919842484375e-01, nan
 122.52,  246.82, 2.323132812500e-03,   2.0, 1.127739531250e-02, nan
 214.31,   99.44, 2.325590625000e-03, 509.0, 3.834964474490e-01, nan
 134.53,  237.67, 2.357698437500e-03,   3.0, 2.095902552083e-02, nan
  60.27,  125.11, 2.435568750000e-03, 655.0, 4.023091750930e-01, nan
  65.98,  151.23, 2.449739062500e-03, 493.0, 4.201792068712e-01, nan
 111.31,  233.21, 2.470671875000e-03, 286.0, 5.520643233938e-01, nan
 233.76,  128.13, 2.472207812500e-03, 236.0, 6.395404917903e-02, nan
  91.71,  127.04, 2.478181250000e-03, 516.0, 3.731450920422e-01, nan
 160.90,  147.56, 2.489531250000e-03, 298.0, 4.490339725199e-01, nan
 208.88,  118.56, 2.491653125000e-03, 202.0, 4.233855093982e-01, nan
 220.79,   89.46, 2.492032812500e-03,  36.0, 4.928979322917e-02, nan
 236.51,  143.04, 2.499518750000e-03, 128.0, 6.988796473389e-02, nan
 238.37,   85.45, 2.502628125000e-03,  19.0, 4.106368643092e-02, nan
 169.08,  110.18, 2.534200000000e-03, 258.0, 2.506750032158e-01, nan
 230.47,  118.85, 2.537606250000e-03, 189.0, 2.935298235615e-01, nan
 116.57,  162.01, 2.545815625000e-03, 364.0, 3.917995555718e-01, nan
  88.17,  157.87, 2.547075000000e-03, 285.0, 4.567938698739e-01, nan
 234.11,  117.38, 2.554148437500e-03,   4.0, 3.246885820312e-02, nan
 187.55,  155.90, 2.565667187500e-03,  96.0, 4.174269078613e-01, nan
 238.93,  161.22, 2.566887500000e-03, 203.0, 4.297223968365e-01, nan
 172.15,   85.31, 2.570853125000e-03, 185.0, 4.450086871284e-01, nan
 245.09,  106.98, 2.592367187500e-03,   3.0, 3.312423020833e-02, nan
 237.92,  159.10, 2.598290625000e-03,  99.0, 3.656496934975e-01, nan
 124.79,   65.98, 2.610903125000e-03, 429.0, 6.095331102601e-01, nan
 244.47,  158.07, 2.612109375000e-03,  77.0, 1.872809221388e-01, nan
 214.08,  231.25, 2.624234375000e-03, 365.0, 5.774175808176e-01, nan
 125.61,  164.47, 2.636726562500e-03, 241.0, 5.836633708312e-01, nan
 212.76,  218.55, 2.638595312500e-03, 174.0, 6.479509125898e-01, nan
