x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
  79.70,  117.76, 5.941437500000e-04,  25.0, 8.286639518750e-02, nan
  26.17,  104.30, 6.040593750000e-04,  62.0, 3.492809651714e-01, nan
  50.97,   89.55, 6.276968750000e-04,  15.0, 9.165989677083e-02, nan
 242.62,  139.93, 1.239034375000e-03,   6.0, 3.222701562500e-03, nan
  22.14,   33.22, 1.367579687500e-03,  42.0, 1.363197657366e-01, nan
 230.83,  210.02, 3.055015625000e-03,  42.0, 9.540167180060e-02, nan
 200.08,  222.05, 3.106196875000e-03,  27.0, 2.087629257523e-01, nan
  19.79,  164.00, 4.806284375000e-03,  58.0, 1.160869557381e-01, nan
  29.32,  177.91, 4.809529687500e-03,   2.0, 2.781562500000e-05, nan
  15.45,  159.82, 4.813043750000e-03,  14.0, 5.098569140625e-02, nan
  23.74,  162.46, 4.832581250000e-03,  11.0, 1.172027028409e-01, nan
   7.71,  182.35, 4.832982812500e-03,   5.0, 2.587898875000e-02, nan
  16.36,  170.98, 4.870823437500e-03,   2.0, 3.870698828125e-02, nan
  11.83,  154.55, 4.871735937500e-03,   2.0, 2.865026796875e-02, nan
 109.20,   37.84, 4.893707812500e-03,  40.0, 2.134027925781e-02, nan
 106.25,   47.94, 4.909817187500e-03,  33.0, 7.355237840909e-02, nan
 101.88,   60.96, 4.989998437500e-03,  32.0, 2.054093515137e-01, nan
 118.96,   24.53, 5.172039062500e-03,   4.0, 4.447029414062e-02, nan
 117.61,   37.46, 5.804076562500e-03,   3.0, 6.538255885417e-02, nan
 175.99,   26.34, 8.187803125000e-03,  85.0, 2.314944653676e-01, nan
 184.40,   36.55, 8.193893750000e-03,  20.0, 3.242997914062e-02, nan
 196.98,   42.14, 8.289114062500e-03,  17.0, 5.129594834559e-02, nan
 217.34,   55.72, 8.341296875000e-03,  40.0, 1.771214521875e-01, nan
  80.82,   43.79, 8.780418750000e-03,  18.0, 1.089834836806e-01, nan
  99.04,   55.21, 8.786314062500e-03,   4.0, 4.307177070312e-02, nan
 175.18,   59.39, 8.904726562500e-03,  20.0, 1.088740917188e-01, nan
  98.39,   83.46, 9.068303125000e-03,  15.0, 3.185410729167e-03, nan
 101.72,   87.76, 9.068339062500e-03,   4.0, 1.477613867187e-02, nan
 102.40,   84.71, 9.068931250000e-03,   2.0, 2.746019531250e-03, nan
  85.87,   81.07, 9.081104687500e-03,  43.0, 1.853954364462e-01, nan
 175.98,   60.94, 9.246754687500e-03,   8.0, 7.599498144531e-02, nan
  95.00,   76.32, 9.340829687500e-03,   2.0, 8.437796875000e-04, nan
 219.74,  214.81, 1.010237968750e-02,  11.0, 1.706469007102e-01, nan
 109.02,   27.67, 1.287568125000e-02,   2.0, 2.394923125000e-02, nan
  13.22,   29.57, 1.375648906250e-02,   3.0, 7.043491510417e-02, nan
  12.97,   73.14, 1.558030156250e-02,  61.0, 1.417425884734e-01, nan
  -0.46,   66.42, 1.558379218750e-02,   4.0, 7.972003515625e-03, nan
 126.59,  240.98, 1.632018750000e-02,  66.0, 2.300596842093e-01, nan
 113.99,  239.48, 1.636066250000e-02,   6.0, 3.672950520833e-03, nan
 124.92,  233.69, 1.639251406250e-02,   4.0, 1.275124960937e-02, nan
  19.22,   81.13, 2.045398750000e-02,   4.0, 4.852626054687e-02, nan
  56.76,  158.84, 2.206726093750e-02,  26.0, 5.697581328125e-02, nan
  73.60,  187.45, 2.212147500000e-02,  16.0, 3.083320888672e-02, nan
  79.90,  136.22, 2.222776875000e-02,  13.0, 8.775208990385e-02, nan
 157.82,  212.62, 2.336422812500e-02,  30.0, 6.931715697917e-02, nan
 143.09,  234.62, 2.346539843750e-02,   2.0, 1.993924453125e-02, nan
  49.89,  143.37, 2.356067343750e-02,  18.0, 1.763618802083e-01, nan
 152.79,  236.27, 2.359261875000e-02,   6.0, 2.189567447917e-02, nan
  97.90,    6.19, 2.602239218750e-02,   8.0, 1.028933613281e-02, nan
  88.90,    3.12, 2.604144687500e-02,   2.0, 4.191934375000e-03, nan
 104.86,    9.23, 2.604807031250e-02,   3.0, 3.738489583333e-05, nan
 228.53,  173.18, 2.720773750000e-02,  12.0, 1.730236588542e-03, nan
 228.88,  180.76, 2.720931250000e-02,   2.0, 4.508054843750e-02, nan
 193.26,   48.69, 2.806111718750e-02,   2.0, 7.509086718750e-03, nan
 186.23,   23.72, 2.809440156250e-02,  14.0, 1.468787455357e-02, nan
 235.64,   81.32, 2.822471406250e-02,  24.0, 7.643103378906e-02, nan
 183.27,   34.69, 2.897926875000e-02,   2.0, 6.108990625000e-03, nan
 155.83,   68.66, 3.109407656250e-02,   7.0, 1.072781752232e-01, nan
 175.37,  136.98, 3.243294687500e-02,  31.0, 5.909447711694e-02, nan
 178.18,  136.63, 3.243330000000e-02,   2.0, 4.246475703125e-02, nan
 186.47,  124.32, 3.249614531250e-02,   2.0, 7.592265625000e-05, nan
 163.59,  227.16, 3.478913593750e-02,   1.0, 0.000000000000e+00, nan
 150.12,  250.21, 3.493460000000e-02,   1.0, 0.000000000000e+00, nan
  98.60,  212.77, 3.527039218750e-02,  46.0, 3.013785688179e-01, nan
 197.96,  190.75, 4.193404687500e-02,  13.0, 4.557988822115e-03, nan
 194.91,  173.77, 4.194240781250e-02,   8.0, 4.624832832031e-02, nan
 187.55,  206.76, 4.197678437500e-02,   6.0, 7.200152265625e-02, nan
  75.72,  192.71, 4.205322500000e-02,  10.0, 1.249764062500e-03, nan
  81.34,  189.80, 4.205996093750e-02,   2.0, 2.383093750000e-04, nan
  59.21,   88.00, 4.325529218750e-02,   7.0, 3.271479084821e-02, nan
  72.19,   91.25, 4.438172656250e-02,   3.0, 6.669337760417e-02, nan
  89.68,  107.48, 4.460315468750e-02,   2.0, 1.384308593750e-03, nan
  84.15,  103.85, 4.460990937500e-02,   2.0, 4.975506328125e-02, nan
  80.04,  156.93, 4.654116406250e-02,   8.0, 8.603020507812e-02, nan
