x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
  19.34,  129.47, 3.414678125000e-03, 120.0, 7.502262329427e-02, nan
  14.51,  135.55, 3.415390625000e-03,  71.0, 1.386913832306e-01, nan
   0.94,  125.05, 3.417706250000e-03,   3.0, 4.723906250000e-05, nan
  19.79,  128.03, 3.441079687500e-03,  33.0, 8.742961510417e-02, nan
  20.97,  116.99, 3.469779687500e-03,   3.0, 7.246373437500e-03, nan
  29.31,   30.91, 3.488953125000e-03, 186.0, 3.044165078881e-01, nan
 160.65,   37.82, 5.936346875000e-03, 158.0, 3.189544860364e-01, nan
 146.30,   42.49, 5.990437500000e-03,   2.0, 5.632509375000e-03, nan
 200.16,  169.05, 6.003131250000e-03, 215.0, 3.420599501308e-01, nan
 237.67,  136.93, 6.018264062500e-03,   2.0, 9.220027343750e-03, nan
 239.74,  204.12, 6.050798437500e-03, 128.0, 2.829616914429e-01, nan
 231.18,  163.09, 6.135776562500e-03,  32.0, 2.494857313965e-01, nan
  21.13,   94.74, 7.770398437500e-03,   3.0, 5.949094895833e-02, nan
  30.79,   26.11, 9.084964062500e-03,   8.0, 6.068529492187e-03, nan
 139.87,  104.86, 9.203529687500e-03,  48.0, 6.357395983073e-02, nan
 136.40,   97.25, 9.210500000000e-03,  13.0, 1.371876622596e-02, nan
 143.00,   97.26, 9.212457812500e-03,  17.0, 6.751723612132e-02, nan
 112.97,   95.49, 9.238548437500e-03,   2.0, 2.759935937500e-03, nan
 123.06,   96.05, 9.241696875000e-03,   3.0, 2.258333125000e-02, nan
 116.39,  105.43, 9.264264062500e-03,   2.0, 4.025775000000e-03, nan
 169.04,  166.91, 1.027723750000e-02, 215.0, 6.443845311919e-01, nan
 138.12,   90.82, 1.182582656250e-02,   1.0, 0.000000000000e+00, nan
 222.21,  158.93, 1.250303750000e-02,   5.0, 7.922254281250e-02, nan
 212.62,   95.93, 1.265918437500e-02,  38.0, 9.804689708059e-02, nan
 210.48,   94.01, 1.267411250000e-02,   1.0, 0.000000000000e+00, nan
 106.48,   41.14, 1.435103906250e-02, 110.0, 1.940326255540e-01, nan
 108.86,   68.42, 1.435939531250e-02,   4.0, 1.293870937500e-02, nan
 121.21,   29.33, 1.436649218750e-02, 242.0, 4.496210563146e-01, nan
 134.00,  189.97, 1.511337343750e-02, 109.0, 1.269375746990e-01, nan
 137.79,  179.52, 1.516458281250e-02,  15.0, 5.565584708333e-02, nan
 141.25,  186.86, 1.517411250000e-02,   6.0, 1.465211692708e-02, nan
 137.04,    6.94, 1.532107656250e-02,  34.0, 2.280960602022e-02, nan
 121.99,   23.86, 1.532220937500e-02,  56.0, 1.608224688058e-01, nan
 121.89,    3.01, 1.533767031250e-02,  10.0, 4.647201031250e-02, nan
 187.82,    6.13, 1.600416875000e-02,  39.0, 5.558194330929e-02, nan
 222.42,  156.90, 1.777839687500e-02,   7.0, 5.592946562500e-02, nan
 148.57,   10.29, 2.215705312500e-02,  22.0, 1.450817004261e-01, nan
 121.54,   10.29, 2.302845468750e-02,   5.0, 3.743824468750e-02, nan
  16.63,  244.33, 2.316951718750e-02,  28.0, 1.874509447545e-02, nan
  22.74,  244.01, 2.317992031250e-02,   2.0, 1.955804140625e-02, nan
 181.88,   47.30, 2.341198593750e-02,  34.0, 2.585700928768e-01, nan
  26.51,  141.24, 2.745970156250e-02,  12.0, 1.031527873698e-01, nan
  36.68,  175.13, 2.806992812500e-02,  31.0, 4.595158724798e-02, nan
 211.92,  152.81, 2.920947031250e-02,  16.0, 1.179218339844e-02, nan
 180.03,  140.19, 2.921292656250e-02,  37.0, 1.092077236486e-01, nan
 205.26,  201.40, 2.921334062500e-02,  96.0, 2.047716638346e-01, nan
 229.56,  231.47, 3.074294843750e-02,  80.0, 8.623092251953e-02, nan
 207.50,  227.47, 3.074487187500e-02, 196.0, 3.966000467395e-01, nan
 239.91,  210.97, 3.075512812500e-02,  51.0, 1.398070697917e-01, nan
 218.91,  208.14, 3.076705625000e-02,   2.0, 1.458226562500e-04, nan
 238.77,  218.44, 3.171452500000e-02,  19.0, 1.184642366776e-01, nan
  33.08,   47.33, 3.183120156250e-02,  65.0, 1.796723881971e-01, nan
  37.43,   85.18, 3.185528906250e-02,   4.0, 9.640742187500e-05, nan
  40.18,   79.61, 3.185574843750e-02,   2.0, 1.174150781250e-03, nan
  35.63,   64.91, 3.185877500000e-02,   2.0, 4.125300000000e-03, nan
  31.55,   81.69, 3.187294062500e-02,   2.0, 3.189656484375e-02, nan
 210.39,   95.57, 3.199382968750e-02,   6.0, 8.520611901042e-02, nan
  12.87,   78.82, 3.201073125000e-02,   5.0, 6.296101687500e-02, nan
 165.46,  115.00, 3.227616406250e-02,  10.0, 1.127088789062e-01, nan
   6.00,   59.57, 3.241052656250e-02,  18.0, 1.835624961806e-01, nan
 150.58,  113.05, 3.253690156250e-02,   2.0, 4.558402812500e-02, nan
 249.48,   13.35, 3.497570156250e-02,   3.0, 1.446427812500e-02, nan
 243.64,  208.89, 3.631571562500e-02,   3.0, 1.090979166667e-04, nan
   5.78,  249.60, 3.817380156250e-02,   2.0, 1.406140156250e-02, nan
 226.92,  228.00, 3.846766718750e-02,   7.0, 9.454545178571e-02, nan
  63.31,  177.30, 3.929330312500e-02,  39.0, 1.160841261619e-01, nan
  59.32,  166.98, 3.931442812500e-02,   1.0, 0.000000000000e+00, nan
  72.18,  132.89, 3.932914531250e-02,  23.0, 9.001346250000e-02, nan
  66.24,  102.87, 3.943246093750e-02,  54.0, 3.561882563079e-01, nan
 130.00,  195.19, 4.077665000000e-02,   4.0, 8.740644179687e-02, nan
 188.82,    8.38, 4.083111718750e-02,  39.0, 1.413365320513e-02, nan
 185.71,   10.51, 4.083405000000e-02,   5.0, 9.322972187500e-03, nan
 194.18,    5.84, 4.083407500000e-02,   3.0, 9.790769270833e-03, nan
 201.90,  163.19, 4.084196406250e-02,   1.0, 0.000000000000e+00, nan
 192.58,   -2.88, 4.087852656250e-02,   2.0, 1.963405468750e-02, nan
 108.71,  239.53, 4.173260156250e-02, 142.0, 9.781334964789e-02, nan
  52.80,  252.67, 4.173643906250e-02,  27.0, 1.237490121528e-02, nan
  76.13,  244.22, 4.173741562500e-02,  74.0, 1.061303764780e-01, nan
 141.82,  244.13, 4.173752968750e-02,  91.0, 1.488020313874e-01, nan
 133.80,  252.40, 4.174349218750e-02,  40.0, 2.611111351563e-02, nan
  97.66,  242.33, 4.174486406250e-02,   7.0, 1.924504062500e-02, nan
 108.02,  237.38, 4.176287968750e-02,  19.0, 8.513224144737e-02, nan
 127.46,  225.48, 4.177326406250e-02,   5.0, 4.293903593750e-02, nan
 126.48,  247.38, 4.178826093750e-02,   6.0, 6.303770859375e-02, nan
  64.27,  253.20, 4.179003125000e-02,   2.0, 2.806307812500e-02, nan
  95.48,  243.39, 4.233086718750e-02,   7.0, 7.546678950893e-02, nan
  80.93,  233.33, 4.237650781250e-02,  11.0, 1.114080156250e-02, nan
 109.04,  254.27, 4.244018281250e-02,   2.0, 8.466700781250e-03, nan
  82.73,  249.41, 4.244534687500e-02,   3.0, 2.935508333333e-02, nan
 124.17,  250.49, 4.244968437500e-02,   3.0, 2.191862291667e-02, nan
 163.09,    1.27, 4.610329375000e-02,   5.0, 6.566655875000e-02, nan
 170.32,  180.94, 4.676400937500e-02,  91.0, 2.508857420330e-01, nan
  31.18,  174.08, 4.903692031250e-02,   8.0, 4.750619101562e-02, nan
 138.69,   35.58, 5.125862656250e-02,   9.0, 1.517008164931e-01, nan
 165.49,  146.51, 5.151436250000e-02,  35.0, 2.920703870536e-02, nan
 158.21,  140.29, 5.152740156250e-02,   7.0, 1.464185580357e-02, nan
 176.00,  135.96, 5.152997187500e-02,  10.0, 8.298627656250e-02, nan
 156.38,  150.23, 5.155787343750e-02,   2.0, 6.817593750000e-04, nan
  77.55,  225.79, 5.241265468750e-02,   2.0, 1.165312500000e-05, nan
  16.94,  200.78, 5.308250000000e-02,   1.0, 0.000000000000e+00, nan
