lowest kval,min loss
102,0.7229509994434198
99,0.7683157400427576
99,0.7226225340838381
100,0.03
99,0.6799903879069051
103,0.6741383461410991
101,0.03
99,0.7310386649066376
100,0.7307956652267987
98,0.6770895278414395
102,0.6728429095795768
97,0.7349572591664018
96,0.706071346566078
102,0.03
97,0.7591294573572163
102,0.6440629626152001
101,0.6696020599188147
102,0.7828648330193146
102,0.6271864349722955
96,0.03
104,0.6168553888961047
98,0.7023094510713945
102,0.7083569370774925
101,0.03
100,0.7359220190070651
102,0.7232021282361376
100,0.03
104,0.6513303613917604
100,0.7153285571566872
103,0.6584721098801087
102,0.6714953189024561
100,0.7278517888260883
102,0.03
99,0.6868522645768707
104,0.03
101,0.712618220162534
102,0.5726924706238244
97,0.6606143135141691
102,0.6069214307671262
103,0.6731786792701252
95,0.7272689086248078
97,0.6037322314625192
105,0.6612006972167306
104,0.7005146285630983
96,0.03
105,0.5790134558134348
100,0.751403399204841
103,0.6588988093743577
105,0.7220024149635662
103,0.709864761568815
102,0.6859192627059754
96,0.03
99,0.6037129118869398
105,0.702962629893158
101,0.6921299306810142
104,0.7495045760573029
95,0.6579736342251653
103,0.03
99,0.6696932479848281
102,0.7464029986043548
102,0.7476958425301463
102,0.7356262706699691
98,0.585693262830116
105,0.6986859105534411
105,0.668113302111453
101,0.5450092562349063
98,0.6806636572131166
104,0.6692404469162054
103,0.7274398042238872
102,0.6943992399614554
96,0.7353467108124756
100,0.7205566685677317
100,0.6409412130344503
99,0.03
95,0.7207949441225611
99,0.03
96,0.6562238845676767
103,0.6952220664621438
101,0.6875809302620839
97,0.03
102,0.7013299003530344
99,0.699936146919226
104,0.03
100,0.03
96,0.7787222527563034
105,0.7423715023137953
101,0.03
105,0.7079615994300749
98,0.7330266712344959
99,0.7186921274039085
100,0.03
102,0.03
103,0.7205421974652326
96,0.6886199932916189
98,0.693752748013621
100,0.7337478374205176
104,0.03
95,0.03
100,0.6070459704836517
100,0.8016346502843702
