lowest kval,min loss
104,0.01
105,0.2893072780817075
99,0.27803132154580185
95,0.01
100,0.01
101,0.01
99,0.01
101,0.01
96,0.3322270194141596
96,0.01
104,0.01
96,0.01
102,0.2665118789780695
104,0.01
105,0.30708303599163067
104,0.01
105,0.29170734167198065
95,0.01
95,0.2963993573802677
104,0.01
96,0.01
101,0.2955833370752742
95,0.01
95,0.01
98,0.28005365472754595
102,0.31262245147196455
100,0.01
104,0.3045708549785028
97,0.31854274361083607
97,0.01
105,0.2832651914741206
100,0.2916027633729229
105,0.29028454301101375
101,0.01
95,0.3063169968030262
99,0.33752853303902997
95,0.27752415947887665
96,0.01
98,0.2745167497291984
103,0.2836510343464095
103,0.01
102,0.2993754728139514
103,0.29255339910197736
103,0.01
104,0.27694455209740565
100,0.23956111970625632
103,0.2997271707614361
103,0.01
105,0.01
97,0.01
95,0.01
97,0.01
101,0.01
104,0.2929389776526196
99,0.01
104,0.01
95,0.01
100,0.01
105,0.30490934689280774
104,0.30493243722944946
102,0.3117034275575786
98,0.32453726131286764
95,0.31602024491088415
105,0.01
101,0.01
99,0.2730197925502938
102,0.28354085248997885
103,0.3027341118565518
95,0.3466317976097217
105,0.3168303318489011
100,0.326728788907072
103,0.01
100,0.3003837013040858
95,0.27259270436401845
100,0.01
95,0.2865278320895005
98,0.01
97,0.01
97,0.01
99,0.24017432405894323
103,0.2780399936115858
104,0.01
100,0.01
103,0.2890835322770222
99,0.01
97,0.32064690180755373
97,0.01
105,0.3061056573821565
105,0.01
101,0.01
101,0.01
96,0.2737726891528641
104,0.01
105,0.27973793745592457
105,0.01
99,0.3016899228660448
98,0.01
102,0.2852141993694137
101,0.304408540512311
98,0.2871575566243828
