x[px],y[px],t[s]
0.004606846872807232,0.01032702527585204,0.000794168677251479
0.00477584377966591,0.01032283745219636,0.0009450367612328271
0.00498963984681085,0.010563009389017197,0.02181750920764942
0.00462879535313181,0.010405655172087363,0.0014861179676794079
0.005000240206148736,0.0105095056228083,0.0008118060830161934
0.0047074344086740485,0.01066830312031923,0.0021985489687732906
0.0049475071865585345,0.00999676775844148,0.000850622226422877
0.005234913665820555,0.010450817589748822,0.010115687026703166
0.004982603844471466,0.010880307982041322,0.0011032780205497096
0.004982801941157998,0.010572804481980431,0.0013983959783201616
0.004738738771599578,0.010576706823910483,0.015888642143436757
0.005458967049348052,0.010722834117972443,0.000767219876904164
0.0048007814237110745,0.010717286774965386,0.013230669625528078
0.0047672937575935215,0.010769525163831851,0.0012108978953169493
0.004996118514087331,0.010447197665244509,0.0011395315883024515
0.0045374988152965265,0.010362436906034214,0.0007592837625469874
0.005164100099438344,0.011064919232242764,0.006465517261265448
0.0047976915680152995,0.0106435617215817,0.0007994533811264427
0.00538185769037709,0.010553808119468109,0.020378174511224877
0.004821870023379133,0.010283395388011799,0.0058541383551263
0.0047725931769491275,0.010290796809086677,0.025954237596471738
0.004852192071556348,0.010229578341579485,0.02998665282723589
0.0050893746016626535,0.010393144013823541,0.03362765079576881
0.005055605122366709,0.010679701375426669,0.0020834734633230225
0.004775383004230778,0.01062309992585295,0.002229819035858822
0.005275528244183651,0.010476659726446744,0.019423600079435353
0.004863663647120234,0.010521076585569571,0.0007496742126098811
0.0051178415885806865,0.010411911036606023,0.0061346615866902
0.004977674483684472,0.010887409180961748,0.0007659029511459982
0.004778392736272491,0.010613419863926124,0.031408351696824904
0.004957145990671666,0.010905491687221155,0.01609986682758015
0.005233447363632047,0.010207127703230897,0.00803649033986243
0.004942368631935036,0.010594561765030893,0.0009051802046357316
0.004976713396451509,0.010642262634650236,0.0007384068374475429
0.005105685020272583,0.010695617798664146,0.001226049072360642
0.0048253599864591,0.01083300647366606,0.020361842879571733
0.004742065344691507,0.010575055070426253,0.0037022036602892784
0.005157696898389639,0.010122847809577744,0.02456640007533648
0.004899658988840488,0.010250871908618942,0.0010217776440845496
0.0049829305684083985,0.010663531921198718,0.010044637706573451
0.0047817863925288554,0.01036074192746004,0.014776815744422276
0.004795721605484613,0.010759420635128275,0.0049981786294385055
0.004878717719173772,0.010363394307657417,0.0049836881165090064
0.004981517139332074,0.010388434961915672,0.0007841177682622114
0.005042918458371568,0.01050690905636833,0.031834687113295006
0.005087694401043618,0.010780624640424912,0.004406626580096868
0.005216825354848801,0.010257014325867633,0.0011299430635414898
0.0052851445400145655,0.010516967469576095,0.0008047807493272564
0.004967913394759838,0.010696631426364003,0.0007500624959944481
0.004978361957499978,0.010781603731896012,0.0007795341482047036
0.004902240589794282,0.0104347631376539,0.03781841681880857
0.005049166354606358,0.010491576260398205,0.0008507175448726102
0.004988768680593409,0.010435975881494489,0.04385345640410514
0.004983302964834942,0.010294688335354336,0.004127777564518971
0.005220871196004917,0.01067114799838639,0.053336204040489825
0.0049519029566328305,0.010447084423162728,0.0023530916188732112
0.004729754701629132,0.01085087261525083,0.021119745749764992
0.005129303129147578,0.010897376316856434,0.053698002345028424
0.005334071572063602,0.010156501054672175,0.0010570012652231409
0.004565165424470149,0.010452532357008383,0.08829346423012421
0.004936877674150933,0.011134018167038134,0.001967981761830502
0.004922919987172282,0.010587178319500295,0.01107777866535849
0.004959708203191432,0.010342230844583212,0.0011234068403483022
0.004687440202990414,0.010903060826395508,0.0007648727229109655
0.005280683041528406,0.010637986064521389,0.03911219042890652
0.004762026573742267,0.010901992968028771,0.0008206665482088661
0.005036815623453246,0.010435115730183426,0.0007644571565067883
0.005222139554365833,0.010264918738185573,0.015561320254144181
0.004913497204845735,0.010669936317219547,0.0013515876604825296
0.004988189248580925,0.010480536342936074,0.010248391868547108
0.004626909411498776,0.010241379046686096,0.02413845168081988
0.005042625012014615,0.010898845075470152,0.021688554740166562
0.004696659810123289,0.01073457439332893,0.050107892664380024
0.004864517844644016,0.01064664294124249,0.0007911521042140169
0.0046328928808446425,0.010833131977752476,0.0008014664926150174
0.005145840552622621,0.010521122931145441,0.0007536370605622245
0.005285282377758238,0.010477632757528547,0.0013695223943031199
0.004703736795242906,0.010863543052914582,0.0007643863117843665
0.004990267829950552,0.010552940667789636,0.033970103792069925
0.005206063311652877,0.010270229271026988,0.0007677748450100342
0.005170040054782301,0.010741533272318329,0.02513249007148145
0.004867900570294505,0.01057349400049992,0.0012715590435878068
0.005163644388055991,0.010810797842727841,0.001721604962037211
0.004892444623500755,0.010393360783324005,0.0008350768339430338
0.004934350222419758,0.010207048348618035,0.0007570010268972705
0.0047756540174116345,0.010753132972609332,0.008104053371218452
0.004928641394865701,0.010752490218868265,0.0007460015731077753
0.004761866004105642,0.010720559257911572,0.001001354515692361
0.00515961023666782,0.010395223228080138,0.001947677023816814
0.0048979808256833885,0.010190722659050085,0.0007444319095227982
0.005087993345895763,0.010651501886569336,0.0008020510273986382
0.00511529869241065,0.010661241840770492,0.0009232645881601399
0.004724507207713465,0.010742723764585436,0.025905766232209314
