lowest kval,min loss
105,0.7458617430785861
97,0.7071097695443016
105,0.8227119451931553
103,0.8617671797294557
102,0.7353735299750593
105,0.8821473165745405
104,0.7027993399391662
98,0.5549220751243107
103,0.7608009147087009
105,0.7715873606855843
100,0.8238164404312588
103,0.9251162113146376
104,0.6872650228138077
103,0.7932885114978947
96,0.6970119433332153
103,0.7735361450084951
104,0.8030926505078573
102,0.5804293042972559
105,0.7222807299576965
97,0.7568788818647114
105,0.7939984105691432
105,0.7568787259094933
101,0.7399056579315819
103,0.8084716899493731
105,0.7516615906170199
103,0.6928977702499245
103,0.6760754410088259
100,0.9876098274010674
103,0.757183270678693
98,0.9207757154667519
99,0.8129223465078864
103,0.7107181413115924
100,0.6798376964539871
97,0.7461601512092548
95,0.8843489319258676
105,0.8206223517307355
105,0.8619436500934259
105,0.8473204493830814
102,0.7067484665424284
97,0.6155659425882481
98,0.8233345755113226
104,0.7232001279783264
100,0.8215278215637976
103,0.8546209047894141
96,0.758923146596534
105,0.7427588363005029
95,0.9208007381963087
104,0.7503028666942015
100,0.8363937228557119
104,0.5839058943862596
105,0.8801595251774331
105,0.7207639011610651
103,0.7300394698856938
105,0.9455713575788828
96,0.7498785628774578
98,0.8644301729680234
105,0.6961256427859672
95,0.9438726029751827
105,0.8114656294395617
105,0.5842065460402734
95,0.03
105,0.7215807462260808
101,0.8487904309965342
101,0.6870420969341092
105,0.7640312208020669
101,0.7566115229188519
103,0.7525202551927905
102,0.8303008626878333
101,0.7677324788199176
98,0.7473319444689891
97,0.7269389387271972
100,0.6847084082908765
105,0.797638318716715
104,0.7653929387206306
98,0.6186148909310422
104,1.0863862797291244
100,0.7303181069516677
105,0.8761623310880782
102,0.8421696338883854
104,0.6842829484910317
98,0.939467258930388
104,0.6854323742725681
105,0.6242051274358666
104,0.8290807799744708
95,0.8485950474701641
105,0.7924832404555705
101,0.8446801888664683
105,0.6941258670931547
105,0.5973504538307132
105,0.7605294023836422
100,0.8836361288898957
103,0.8171537455346848
98,0.7540742664719682
105,0.8333669867013158
100,0.7461502467790058
104,0.5568913310196264
103,0.8107462140652659
103,0.6584048511583317
101,0.8845295499126374
104,0.7290478804923592
