lowest kval,min loss
100,0.3231518975196486
105,0.32482251040724563
104,0.27696285682495797
99,0.3177503882627869
100,0.3036077407468104
105,0.3323388242085707
99,0.3151155473429831
102,0.312231313144006
99,0.01
96,0.2763181195672052
101,0.35386047655406944
105,0.3332268182476497
101,0.29298728278864944
101,0.3309044807180338
98,0.01
97,0.2950150643440447
97,0.33694875881882297
95,0.3344025633849601
102,0.3309022312359843
96,0.2958902653160298
104,0.3205980981806674
96,0.3065453589944711
103,0.2736495066289042
105,0.3146528352500515
96,0.3641677709902084
105,0.31595506749414165
101,0.29433611673346016
99,0.3498231650042283
104,0.01
104,0.3010184004073998
99,0.319412984543531
98,0.01
105,0.01
99,0.2819112086978092
101,0.30148466631730386
104,0.28115658162706475
99,0.01
97,0.2956532703090832
103,0.01
102,0.320808404345814
104,0.31451828390653885
105,0.32570332650577033
96,0.01
104,0.29112847945626064
104,0.3087713200895668
97,0.33187612238881975
99,0.3184889334748098
99,0.33000751753168284
105,0.30488323194780037
97,0.3173792428207174
98,0.31874874674699616
105,0.01
102,0.29067903395985284
99,0.3446679148179096
103,0.3188977108706139
95,0.31166054175133723
100,0.2816459099980744
97,0.32956388638940026
100,0.29660095181173507
104,0.01
98,0.3236536838021416
95,0.01
105,0.2918731934470217
105,0.01
102,0.3274097821577685
100,0.3338448033796455
95,0.28395640132034555
98,0.34281006354569166
105,0.32453587542992207
104,0.33848212059123156
98,0.01
96,0.01
103,0.01
97,0.32520909471628856
96,0.2868813231167414
105,0.30501178269612833
100,0.2749319615188749
95,0.2937591902442617
103,0.30359483653419017
99,0.2671734062605276
101,0.2553685015928492
105,0.2664880387660843
105,0.25282044562168837
102,0.31652057543852025
99,0.2762248436159115
97,0.2851179582954312
99,0.34225367726262507
105,0.3080770186960967
102,0.33560312719081375
105,0.24576578286094947
97,0.3305420856515374
101,0.2557081860591318
98,0.31250513911843786
96,0.01
96,0.31452893784601477
102,0.3064541241935506
95,0.01
103,0.3369885851107861
95,0.3095407539568261
103,0.2950732565864793
